value,month,day,hour,minute,snow,snow_depth,min_temp,max_temp,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,TotalMinutes
-0.15994317,-1.256743186,-1.571669233,-1.658693588,-0.999805504,-0.11444239,-0.097080897,2.042698627,1.828706057,-0.000280053,1.41231378,-0.011702525,1.38896633,-1.693658805
-0.402286719,-1.256743186,-1.571669233,-1.658693588,1.000194534,-0.11444239,-0.097080897,2.042698627,1.828706057,-0.000280053,1.41231378,-0.011702525,1.38896633,-1.621524032
-0.695083077,-1.256743186,-1.571669233,-1.514328725,-0.999805504,-0.11444239,-0.097080897,2.042698627,1.828706057,0.365896114,1.364145402,-0.011702525,1.38896633,-1.549389259
-0.920986947,-1.256743186,-1.571669233,-1.514328725,1.000194534,-0.11444239,-0.097080897,2.042698627,1.828706057,0.365896114,1.364145402,-0.011702525,1.38896633,-1.477254486
-1.014523054,-1.256743186,-1.571669233,-1.369963862,-0.999805504,-0.11444239,-0.097080897,2.042698627,1.828706057,0.70711798,1.222922862,-0.011702525,1.38896633,-1.405119713
-1.150150409,-1.256743186,-1.571669233,-1.369963862,1.000194534,-0.11444239,-0.097080897,2.042698627,1.828706057,0.70711798,1.222922862,-0.011702525,1.38896633,-1.33298494
-1.307744576,-1.256743186,-1.571669233,-1.225598999,-0.999805504,-0.11444239,-0.097080897,2.042698627,1.828706057,1.000131839,0.998270242,-0.011702525,1.38896633,-1.260850167
-1.4299084,-1.256743186,-1.571669233,-1.225598999,1.000194534,-0.11444239,-0.097080897,2.042698627,1.828706057,1.000131839,0.998270242,-0.011702525,1.38896633,-1.188715394
-1.492690969,-1.256743186,-1.571669233,-1.081234136,-0.999805504,-0.11444239,-0.097080897,2.042698627,1.828706057,1.224969281,0.705497248,-0.011702525,1.38896633,-1.116580621
-1.689258514,-1.256743186,-1.571669233,-1.081234136,1.000194534,-0.11444239,-0.097080897,2.042698627,1.828706057,1.224969281,0.705497248,-0.011702525,1.38896633,-1.044445848
-1.815107094,-1.256743186,-1.571669233,-0.936869272,-0.999805504,-0.11444239,-0.097080897,2.042698627,1.828706057,1.366308006,0.364555876,-0.011702525,1.38896633,-0.972311074
-1.824602426,-1.256743186,-1.571669233,-0.936869272,1.000194534,-0.11444239,-0.097080897,2.042698627,1.828706057,1.366308006,0.364555876,-0.011702525,1.38896633,-0.900176301
-1.807312419,-1.256743186,-1.571669233,-0.792504409,-0.999805504,-0.11444239,-0.097080897,2.042698627,1.828706057,1.414516012,-0.001319284,-0.011702525,1.38896633,-0.828041528
-1.706123358,-1.256743186,-1.571669233,-0.792504409,1.000194534,-0.11444239,-0.097080897,2.042698627,1.828706057,1.414516012,-0.001319284,-0.011702525,1.38896633,-0.755906755
-1.728940499,-1.256743186,-1.571669233,-0.648139546,-0.999805504,-0.11444239,-0.097080897,2.042698627,1.828706057,1.366308006,-0.367194444,-0.011702525,1.38896633,-0.683771982
-1.556890751,-1.256743186,-1.571669233,-0.648139546,1.000194534,-0.11444239,-0.097080897,2.042698627,1.828706057,1.366308006,-0.367194444,-0.011702525,1.38896633,-0.611637209
-1.517633931,-1.256743186,-1.571669233,-0.503774683,-0.999805504,-0.11444239,-0.097080897,2.042698627,1.828706057,1.224969281,-0.708135816,-0.011702525,1.38896633,-0.539502436
-1.399013141,-1.256743186,-1.571669233,-0.503774683,1.000194534,-0.11444239,-0.097080897,2.042698627,1.828706057,1.224969281,-0.708135816,-0.011702525,1.38896633,-0.467367663
-1.252331519,-1.256743186,-1.571669233,-0.35940982,-0.999805504,-0.11444239,-0.097080897,2.042698627,1.828706057,1.000131839,-1.00090881,-0.011702525,1.38896633,-0.39523289
-0.984478123,-1.256743186,-1.571669233,-0.35940982,1.000194534,-0.11444239,-0.097080897,2.042698627,1.828706057,1.000131839,-1.00090881,-0.011702525,1.38896633,-0.323098117
-0.845307734,-1.256743186,-1.571669233,-0.215044957,-0.999805504,-0.11444239,-0.097080897,2.042698627,1.828706057,0.70711798,-1.225561429,-0.011702525,1.38896633,-0.250963344
