value,month,day,hour,minute,snow,snow_depth,min_temp,max_temp,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,TotalMinutes
-0.657345322,-1.393709321,-1.669056578,-1.658451987,-1,-0.081786082,0,1.119851798,1.217513295,-0.002973994,1.413822139,1.086637652,0.891272392,-1.693463811
-1.052913899,-1.393709321,-1.669056578,-1.658451987,1,-0.081786082,0,1.119851798,1.217513295,-0.002973994,1.413822139,1.086637652,0.891272392,-1.621279062
-1.332010315,-1.393709321,-1.669056578,-1.513988365,-1,-0.081786082,0,1.119851798,1.217513295,0.363053029,1.365633976,1.086637652,0.891272392,-1.549094312
-1.558257488,-1.393709321,-1.669056578,-1.513988365,1,-0.081786082,0,1.119851798,1.217513295,0.363053029,1.365633976,1.086637652,0.891272392,-1.476909563
-1.679970896,-1.393709321,-1.669056578,-1.369524742,-1,-0.081786082,0,1.119851798,1.217513295,0.704135914,1.224353433,1.086637652,0.891272392,-1.404724814
-1.817844817,-1.393709321,-1.669056578,-1.369524742,1,-0.081786082,0,1.119851798,1.217513295,0.704135914,1.224353433,1.086637652,0.891272392,-1.332540064
-1.891222278,-1.393709321,-1.669056578,-1.225061119,-1,-0.081786082,0,1.119851798,1.217513295,0.997030428,0.999608545,1.086637652,0.891272392,-1.260355315
-1.93562729,-1.393709321,-1.669056578,-1.225061119,1,-0.081786082,0,1.119851798,1.217513295,0.997030428,0.999608545,1.086637652,0.891272392,-1.188170566
-1.912769628,-1.393709321,-1.669056578,-1.080597497,-1,-0.081786082,0,1.119851798,1.217513295,1.221776294,0.706715303,1.086637652,0.891272392,-1.115985817
-1.921941811,-1.393709321,-1.669056578,-1.080597497,1,-0.081786082,0,1.119851798,1.217513295,1.221776294,0.706715303,1.086637652,0.891272392,-1.043801067
-1.869966109,-1.393709321,-1.669056578,-0.936133874,-1,-0.081786082,0,1.119851798,1.217513295,1.363057451,0.3656339,1.086637652,0.891272392,-0.971616318
-1.600769827,-1.393709321,-1.669056578,-0.936133874,1,-0.081786082,0,1.119851798,1.217513295,1.363057451,0.3656339,1.086637652,0.891272392,-0.899431569
-1.286003811,-1.393709321,-1.669056578,-0.791670251,-1,-0.081786082,0,1.119851798,1.217513295,1.411245823,-0.000391532,1.086637652,0.891272392,-0.827246819
-0.628955232,-1.393709321,-1.669056578,-0.791670251,1,-0.081786082,0,1.119851798,1.217513295,1.411245823,-0.000391532,1.086637652,0.891272392,-0.75506207
-0.218682045,-1.393709321,-1.669056578,-0.647206629,-1,-0.081786082,0,1.119851798,1.217513295,1.363057451,-0.366416964,1.086637652,0.891272392,-0.682877321
0.073663079,-1.393709321,-1.669056578,-0.647206629,1,-0.081786082,0,1.119851798,1.217513295,1.363057451,-0.366416964,1.086637652,0.891272392,-0.610692572
0.372850943,-1.393709321,-1.669056578,-0.502743006,-1,-0.081786082,0,1.119851798,1.217513295,1.221776294,-0.707498367,1.086637652,0.891272392,-0.538507822
0.726052772,-1.393709321,-1.669056578,-0.502743006,1,-0.081786082,0,1.119851798,1.217513295,1.221776294,-0.707498367,1.086637652,0.891272392,-0.466323073
0.608561479,-1.393709321,-1.669056578,-0.358279383,-1,-0.081786082,0,1.119851798,1.217513295,0.997030428,-1.000391609,1.086637652,0.891272392,-0.394138324
0.691256714,-1.393709321,-1.669056578,-0.358279383,1,-0.081786082,0,1.119851798,1.217513295,0.997030428,-1.000391609,1.086637652,0.891272392,-0.321953574
0.527758918,-1.393709321,-1.669056578,-0.21381576,-1,-0.081786082,0,1.119851798,1.217513295,0.704135914,-1.225136497,1.086637652,0.891272392,-0.249768825
0.343732903,-1.393709321,-1.669056578,-0.21381576,1,-0.081786082,0,1.119851798,1.217513295,0.704135914,-1.225136497,1.086637652,0.891272392,-0.177584076
0.275159918,-1.393709321,-1.669056578,-0.069352138,-1,-0.081786082,0,1.119851798,1.217513295,0.363053029,-1.366417041,1.086637652,0.891272392,-0.105399327
0.451906423,-1.393709321,-1.669056578,-0.069352138,1,-0.081786082,0,1.119851798,1.217513295,0.363053029,-1.366417041,1.086637652,0.891272392,-0.033214577
0.516694062,-1.393709321,-1.669056578,0.075111485,-1,-0.081786082,0,1.119851798,1.217513295,-0.002973994,-1.414605203,1.086637652,0.891272392,0.038970172
0.513491078,-1.393709321,-1.669056578,0.075111485,1,-0.081786082,0,1.119851798,1.217513295,-0.002973994,-1.414605203,1.086637652,0.891272392,0.111154921
0.410413215,-1.393709321,-1.669056578,0.219575108,-1,-0.081786082,0,1.119851798,1.217513295,-0.369001016,-1.366417041,1.086637652,0.891272392,0.183339671
0.596914263,-1.393709321,-1.669056578,0.219575108,1,-0.081786082,0,1.119851798,1.217513295,-0.369001016,-1.366417041,1.086637652,0.891272392,0.25552442
0.609580611,-1.393709321,-1.669056578,0.36403873,-1,-0.081786082,0,1.119851798,1.217513295,-0.710083902,-1.225136497,1.086637652,0.891272392,0.327709169
0.761722371,-1.393709321,-1.669056578,0.36403873,1,-0.081786082,0,1.119851798,1.217513295,-0.710083902,-1.225136497,1.086637652,0.891272392,0.399893918
0.585412637,-1.393709321,-1.669056578,0.508502353,-1,-0.081786082,0,1.119851798,1.217513295,-1.002978416,-1.000391609,1.086637652,0.891272392,0.472078668
0.463699229,-1.393709321,-1.669056578,0.508502353,1,-0.081786082,0,1.119851798,1.217513295,-1.002978416,-1.000391609,1.086637652,0.891272392,0.544263417
0.126512323,-1.393709321,-1.669056578,0.652965976,-1,-0.081786082,0,1.119851798,1.217513295,-1.227724281,-0.707498367,1.086637652,0.891272392,0.616448166
-0.050379772,-1.393709321,-1.669056578,0.652965976,1,-0.081786082,0,1.119851798,1.217513295,-1.227724281,-0.707498367,1.086637652,0.891272392,0.688632915
0.268462769,-1.393709321,-1.669056578,0.797429598,-1,-0.081786082,0,1.119851798,1.217513295,-1.369005439,-0.366416964,1.086637652,0.891272392,0.760817665
0.606523217,-1.393709321,-1.669056578,0.797429598,1,-0.081786082,0,1.119851798,1.217513295,-1.369005439,-0.366416964,1.086637652,0.891272392,0.833002414
1.1074991,-1.393709321,-1.669056578,0.941893221,-1,-0.081786082,0,1.119851798,1.217513295,-1.41719381,-0.000391532,1.086637652,0.891272392,0.905187163
1.781872912,-1.393709321,-1.669056578,0.941893221,1,-0.081786082,0,1.119851798,1.217513295,-1.41719381,-0.000391532,1.086637652,0.891272392,0.977371913
1.669622867,-1.393709321,-1.669056578,1.086356844,-1,-0.081786082,0,1.119851798,1.217513295,-1.369005439,0.3656339,1.086637652,0.891272392,1.049556662
1.38965291,-1.393709321,-1.669056578,1.086356844,1,-0.081786082,0,1.119851798,1.217513295,-1.369005439,0.3656339,1.086637652,0.891272392,1.121741411
1.094250391,-1.393709321,-1.669056578,1.230820466,-1,-0.081786082,0,1.119851798,1.217513295,-1.227724281,0.706715303,1.086637652,0.891272392,1.19392616
0.733041102,-1.393709321,-1.669056578,1.230820466,1,-0.081786082,0,1.119851798,1.217513295,-1.227724281,0.706715303,1.086637652,0.891272392,1.26611091
1.170830837,-1.393709321,-1.669056578,1.375284089,-1,-0.081786082,0,1.119851798,1.217513295,-1.002978416,0.999608545,1.086637652,0.891272392,1.338295659
1.321953466,-1.393709321,-1.669056578,1.375284089,1,-0.081786082,0,1.119851798,1.217513295,-1.002978416,0.999608545,1.086637652,0.891272392,1.410480408
1.15874685,-1.393709321,-1.669056578,1.519747712,-1,-0.081786082,0,1.119851798,1.217513295,-0.710083902,1.224353433,1.086637652,0.891272392,1.482665158
0.927986381,-1.393709321,-1.669056578,1.519747712,1,-0.081786082,0,1.119851798,1.217513295,-0.710083902,1.224353433,1.086637652,0.891272392,1.554849907
0.690819943,-1.393709321,-1.669056578,1.664211334,-1,-0.081786082,0,1.119851798,1.217513295,-0.369001016,1.365633976,1.086637652,0.891272392,1.627034656
0.109478269,-1.393709321,-1.669056578,1.664211334,1,-0.081786082,0,1.119851798,1.217513295,-0.369001016,1.365633976,1.086637652,0.891272392,1.699219405
-0.289584473,-1.393709321,-1.554591773,-1.658451987,-1,-0.081786082,0,1.119851798,1.366485451,-0.002973994,1.413822139,1.359593499,-0.305964272,-1.693463811
-0.788230913,-1.393709321,-1.554591773,-1.658451987,1,-0.081786082,0,1.119851798,1.366485451,-0.002973994,1.413822139,1.359593499,-0.305964272,-1.621279062
-1.133862051,-1.393709321,-1.554591773,-1.513988365,-1,-0.081786082,0,1.119851798,1.366485451,0.363053029,1.365633976,1.359593499,-0.305964272,-1.549094312
-1.374668244,-1.393709321,-1.554591773,-1.513988365,1,-0.081786082,0,1.119851798,1.366485451,0.363053029,1.365633976,1.359593499,-0.305964272,-1.476909563
-1.534380695,-1.393709321,-1.554591773,-1.369524742,-1,-0.081786082,0,1.119851798,1.366485451,0.704135914,1.224353433,1.359593499,-0.305964272,-1.404724814
-1.707050674,-1.393709321,-1.554591773,-1.369524742,1,-0.081786082,0,1.119851798,1.366485451,0.704135914,1.224353433,1.359593499,-0.305964272,-1.332540064
-1.800373993,-1.393709321,-1.554591773,-1.225061119,-1,-0.081786082,0,1.119851798,1.366485451,0.997030428,0.999608545,1.359593499,-0.305964272,-1.260355315
-1.867054305,-1.393709321,-1.554591773,-1.225061119,1,-0.081786082,0,1.119851798,1.366485451,0.997030428,0.999608545,1.359593499,-0.305964272,-1.188170566
-1.861958648,-1.393709321,-1.554591773,-1.080597497,-1,-0.081786082,0,1.119851798,1.366485451,1.221776294,0.706715303,1.359593499,-0.305964272,-1.115985817
-1.874333815,-1.393709321,-1.554591773,-1.080597497,1,-0.081786082,0,1.119851798,1.366485451,1.221776294,0.706715303,1.359593499,-0.305964272,-1.043801067
-1.818572768,-1.393709321,-1.554591773,-0.936133874,-1,-0.081786082,0,1.119851798,1.366485451,1.363057451,0.3656339,1.359593499,-0.305964272,-0.971616318
-1.583590183,-1.393709321,-1.554591773,-0.936133874,1,-0.081786082,0,1.119851798,1.366485451,1.363057451,0.3656339,1.359593499,-0.305964272,-0.899431569
-1.247859179,-1.393709321,-1.554591773,-0.791670251,-1,-0.081786082,0,1.119851798,1.366485451,1.411245823,-0.000391532,1.359593499,-0.305964272,-0.827246819
-0.623277215,-1.393709321,-1.554591773,-0.791670251,1,-0.081786082,0,1.119851798,1.366485451,1.411245823,-0.000391532,1.359593499,-0.305964272,-0.75506207
-0.237317591,-1.393709321,-1.554591773,-0.647206629,-1,-0.081786082,0,1.119851798,1.366485451,1.363057451,-0.366416964,1.359593499,-0.305964272,-0.682877321
0.195230898,-1.393709321,-1.554591773,-0.647206629,1,-0.081786082,0,1.119851798,1.366485451,1.363057451,-0.366416964,1.359593499,-0.305964272,-0.610692572
0.552800432,-1.393709321,-1.554591773,-0.502743006,-1,-0.081786082,0,1.119851798,1.366485451,1.221776294,-0.707498367,1.359593499,-0.305964272,-0.538507822
0.668835823,-1.393709321,-1.554591773,-0.502743006,1,-0.081786082,0,1.119851798,1.366485451,1.221776294,-0.707498367,1.359593499,-0.305964272,-0.466323073
0.603174642,-1.393709321,-1.554591773,-0.358279383,-1,-0.081786082,0,1.119851798,1.366485451,0.997030428,-1.000391609,1.359593499,-0.305964272,-0.394138324
0.52921482,-1.393709321,-1.554591773,-0.358279383,1,-0.081786082,0,1.119851798,1.366485451,0.997030428,-1.000391609,1.359593499,-0.305964272,-0.321953574
0.284186511,-1.393709321,-1.554591773,-0.21381576,-1,-0.081786082,0,1.119851798,1.366485451,0.704135914,-1.225136497,1.359593499,-0.305964272,-0.249768825
0.3705215,-1.393709321,-1.554591773,-0.21381576,1,-0.081786082,0,1.119851798,1.366485451,0.704135914,-1.225136497,1.359593499,-0.305964272,-0.177584076
0.258271455,-1.393709321,-1.554591773,-0.069352138,-1,-0.081786082,0,1.119851798,1.366485451,0.363053029,-1.366417041,1.359593499,-0.305964272,-0.105399327
0.470250788,-1.393709321,-1.554591773,-0.069352138,1,-0.081786082,0,1.119851798,1.366485451,0.363053029,-1.366417041,1.359593499,-0.305964272,-0.033214577
0.549597448,-1.393709321,-1.554591773,0.075111485,-1,-0.081786082,0,1.119851798,1.366485451,-0.002973994,-1.414605203,1.359593499,-0.305964272,0.038970172
0.567796223,-1.393709321,-1.554591773,0.075111485,1,-0.081786082,0,1.119851798,1.366485451,-0.002973994,-1.414605203,1.359593499,-0.305964272,0.111154921
0.481606824,-1.393709321,-1.554591773,0.219575108,-1,-0.081786082,0,1.119851798,1.366485451,-0.369001016,-1.366417041,1.359593499,-0.305964272,0.183339671
0.541444397,-1.393709321,-1.554591773,0.219575108,1,-0.081786082,0,1.119851798,1.366485451,-0.369001016,-1.366417041,1.359593499,-0.305964272,0.25552442
